logFC	AveExpr	t	P.Value	adj.P.Val	B
ACPL2	-0.724806444070677	5.10931989347335	-11.3960301642467	1.16435042342751e-13	9.15761608025734e-10	19.8479815207175
ENDOV	-0.525260976091051	5.07870286502165	-9.83947818773569	7.14549411341943e-12	2.80996556010219e-08	16.2319680632226
MDH2	0.821139771578055	3.71412098051574	7.3404415980912	1.00428698071911e-08	2.6329057011186e-05	9.8323808471252
ACTR2	-0.412137400958248	7.07007985542165	-6.94787449504849	3.33279035506003e-08	6.55309903563679e-05	8.64894837879898
STXBP6	0.440957791968098	5.50319242416173	6.71931262381812	6.73724488108848e-08	0.000105976861979522	8.0483552389976
ARSJ	-0.967556095052454	2.69106139168481	-6.6386719757481	8.64342077463687e-08	0.000113300840654198	7.84026080660453
EFNB3	0.8546730562157	3.46411513799371	6.41546006090011	1.72591550330915e-07	0.000193918934764664	7.18849199361942
HSPA8	0.723603758599724	7.16905721895504	6.29964284886842	2.47322186656436e-07	0.000243148624756609	6.84228092499941
TSPAN13	0.536617372126041	5.15779806193424	6.12250157576962	4.2919614215492e-07	0.00037506973978316	6.34404648883213
CLPX	0.681671838969593	4.95018241727129	6.00182379336363	6.2511420408211e-07	0.00049165232151058	5.98213649417569
MYL6	-0.518414385227017	5.35860673590005	-5.845663798731	1.01726529398082e-06	0.000675547524415652	5.54137477306515
NOL4	0.437112751939285	6.02779182778538	5.84145263997318	1.03071459542121e-06	0.000675547524415652	5.52391636541934
HECW2	-0.288813579662075	7.47815778404461	-5.80123465987965	1.16846831773122e-06	0.000701505006438491	5.40384056180937
ARFRP1	-0.7040468875186	4.69982451249724	-5.77994205872069	1.24870566943914e-06	0.000701505006438491	5.34574268451315
EGLN1	0.538911144248883	5.35390699509973	5.74390921653845	1.3972373320343e-06	0.000731751676770237	5.24625432548881
PPP1R15A	1.06303303685979	4.99361045636392	5.7235965678342	1.48862388154149e-06	0.000731751676770237	5.16249863369384
ITGB1	0.512236902519623	5.56317557949274	5.6975330842751	1.61468674438365e-06	0.000747030073210434	5.08736284703411
TMED5	0.631399041664219	5.03834822358016	5.63206804741512	1.98038818590552e-06	0.000850547682118118	4.9147092668887
PPP2R2C	0.264517526032605	8.39556896034827	5.6202501176905	2.05472421617854e-06	0.000850547682118118	4.88518352293998
DCTN6	-0.782012673151618	3.50367791231567	-5.57400520877531	2.3733783576045e-06	0.000914902856178587	4.75810192340306
