logFC	AveExpr	t	P.Value	adj.P.Val	B	Bonf
CYP2J2	6.60349466271745	3.28336787671993	77.0855524150895	2.27673273349147e-45	1.90061648591868e-41	92.744759388056	1.90061648591868e-41
NCKAP5	5.66081177221374	6.45973342752113	67.727914185569	4.02114731329835e-43	1.11895125904715e-39	87.9103469556551	3.35685377714146e-39
RFTN2	6.89530834357679	3.93433588406054	67.7463616039254	3.97764684551048e-43	1.11895125904715e-39	87.8450874388546	3.32053958663215e-39
S100B	5.94014645494802	3.12341649997528	65.8668304426014	1.2232889842236e-42	2.55300411007464e-39	86.8787374917341	1.02120164402986e-38
SEPP1	6.59387653236687	3.39333252242938	65.2684533454942	1.76089626058189e-42	2.93999239666753e-39	86.5589022437974	1.46999619833376e-38
ST18	8.01583094411783	5.62707846880924	63.7469217639451	4.51350156289338e-42	6.27978517450566e-39	85.6008330132374	3.76787110470339e-38
SLCO1A2	7.71893785280827	4.56439511377816	62.6593450887658	8.96631782081378e-42	8.91092705946481e-39	85.019410246996	7.48508211681534e-38
SH3TC2	7.30545354095033	4.22568732949234	62.6093002059102	9.25663251575406e-42	8.91092705946481e-39	84.934407102356	7.72743682415149e-38
CLDN11	6.62118243265324	4.14083125194437	62.5510197887336	9.60689309237941e-42	8.91092705946481e-39	84.9180794934446	8.01983435351833e-38
ZIC1	4.87905358864044	2.70253220627243	62.1827601863189	1.21575450446861e-41	1.01491186033039e-38	84.6251302447238	1.0149118603304e-37
RTKN	6.15336577712387	3.29922889294514	61.6061511605486	1.76264153090059e-41	1.33768468181437e-38	84.3203857791568	1.47145314999581e-37
HEPACAM	6.54660907086948	4.16607512041759	58.9336142518517	1.0320546731369e-40	7.17966034278904e-38	82.6613011731182	8.61559241134684e-37
LRP4	6.78559002094697	4.47639457268905	57.3466829960991	3.06008411966431e-40	1.96504478699674e-37	81.6230188382922	2.55455822309577e-36
RASSF2	6.11017059960053	4.10371903836781	56.8102189664307	4.44829430000458e-40	2.6524543440313e-37	81.3137610322362	3.71343608164382e-36
VRK2	5.73336665814095	3.14732474822706	56.5816111447782	5.22251211113098e-40	2.90650207358143e-37	81.1201364339265	4.35975311037214e-36
RHBDL2	5.02263246274612	2.565699639414	55.9272752469812	8.29598460483074e-40	4.32842996757044e-37	80.669118330771	6.9254879481127e-36
REST	5.86311162405447	3.15076788622712	55.7648656120471	9.31342860192809e-40	4.57344129228798e-37	80.5943165899464	7.77485019688957e-36
SRRM3	-5.14729573332589	7.03682357194991	-55.3256716706299	1.27553607765986e-39	5.91565287572473e-37	80.2478126616224	1.06481751763045e-35
TMEM144	5.41942150264708	6.53680213931837	54.5035878395349	2.31320107520038e-39	1.01634750398804e-36	79.6720911962097	1.93106025757728e-35
ZCCHC24	6.1502854251488	3.56156976380669	54.3496433390302	2.58848846612086e-39	1.08043508575885e-36	79.5585620753693	2.16087017151769e-35
FOLH1	5.89735671067855	3.09356262745581	54.209920918932	2.86737453487563e-39	1.12878574308151e-36	79.5083157158447	2.39368426171418e-35
ICOSLG	6.46960489901837	3.74022711534871	54.159801940603	2.97475878627134e-39	1.12878574308151e-36	79.4239238593389	2.48332863477931e-35
NDRG2	6.602480327508	4.61378155570413	52.8049203697607	8.14029921651303e-39	2.95457468954134e-36	78.4813724995409	6.79552178594508e-35
PON2	6.08581802145409	3.34484692477324	51.6281392200671	1.99206122507636e-38	6.92905296122394e-36	77.6194182767509	1.66297271069375e-34
ABCA8	8.01956371523035	4.59333140515734	51.394619164469	2.38479434400644e-38	7.93415482589075e-36	77.4482208914469	1.99082631837658e-34
BCAS1	7.60845375955684	5.26116467877573	51.3486013934977	2.47110715708145e-38	7.93415482589075e-36	77.3857594367298	2.06288025473159e-34
SRRM4	-5.69995242401222	7.05893142376731	-51.1994647336362	2.77347873849356e-38	8.57518537368305e-36	77.2227850937554	2.31530005089442e-34
DNAH17	6.45838116134417	3.61864078737377	50.7013408472093	4.08794979178736e-38	1.21879303078003e-35	76.8362894530503	3.41262048618409e-34
OPALIN	7.12683920979992	4.48570199002063	50.4339767293613	5.0419624880183e-38	1.45138975344747e-35	76.7013865018328	4.20903028499768e-34
SLC31A2	5.18373793021053	4.28260049083348	50.2012771107676	6.0571033121743e-38	1.68548994833437e-35	76.4997531801651	5.05646984500311e-34
C10orf90	6.64744520650894	3.97272839606129	50.0309501745705	6.93113091661032e-38	1.86648648038267e-35	76.3782179264656	5.7861080891863e-34
MYO15B	6.28306106143483	4.01646999108257	49.9472451456851	7.40701514391204e-38	1.93230507566805e-35	76.2863304428193	6.18337624213777e-34
PXK	4.03139049100998	7.83947558324914	49.0082228160872	1.5718634094314e-37	3.97633810361615e-35	75.6189189647786	1.31219157419333e-33
USP54	3.53463725544991	7.40037448954648	48.74082471745	1.95243291275029e-37	4.79379704577631e-35	75.3923558345832	1.62989099556394e-33
TMEM123	5.59880353886975	3.1836357425256	48.0844440455967	3.34078834947096e-37	7.96825746896674e-35	74.880664776148	2.78889011413836e-33
HHIP	7.17115776475175	4.7940819200094	47.8664956967043	3.99933182692578e-37	9.02335732193958e-35	74.6711499310413	3.33864220911764e-33
GPIHBP1	4.59674643261986	2.39103168894114	47.8762559025309	3.96717062523837e-37	9.02335732193958e-35	74.6648367857391	3.31179403794899e-33
KCNJ10	6.29475984677815	3.4916416562354	47.6257197026617	4.88326993871374e-37	1.07277730127322e-34	74.4790129056426	4.07655374483823e-33
PPAP2C	4.7217754940388	2.49589549461004	47.5335694042093	5.27246573315071e-37	1.12857804975236e-34	74.3628796551098	4.40145439403421e-33
MTUS1	3.71534414126748	6.82229174325602	46.1728175257163	1.66409803531707e-36	3.47297259970672e-34	73.2805549403178	1.38918903988269e-32
DOCK1	7.30691500706753	4.85891544897221	45.9833690884874	1.95792832329982e-36	3.98653308363582e-34	73.1492135360407	1.63447856429069e-32
