logFC	AveExpr	t	P.Value	adj.P.Val	B
TIMP2	0.127853127228553	7.79525534702731	7.61332094559299	2.31258214968383e-13	3.54611346832518e-09	18.8812062856297
GRIN3A	0.151621921397792	3.25518778932129	5.89314588829588	8.62771641291855e-09	6.50403702875935e-05	8.55065168424245
ADAMTS2	0.192943181472231	2.00259614549285	5.82251376130945	1.27247365894601e-08	6.50403702875935e-05	8.18258974059117
ALDH1A1	-0.189146085431127	5.8229348777576	-5.69461432675595	2.54789463586452e-08	9.40016939544604e-05	7.50028784218487
IBTK	0.0565995199932107	6.37706052076443	5.66018730439666	3.06513936202101e-08	9.40016939544604e-05	7.3274913244605
L3MBTL4	0.108784443893659	3.43019918453054	5.47895226435958	7.99258343207084e-08	0.000175545443593526	6.39429430917025
ZBED6	-0.132202430410792	2.02371646577367	-5.47844722748796	8.01368269958707e-08	0.000175545443593526	6.38884827733478
PLPPR2	0.058888471067959	7.12003470726025	5.30733229954932	1.93615605727168e-07	0.00037111271227755	5.53941962163189
NDUFB4	-0.0624906184703609	7.40961516829547	-5.23612260189849	2.77663217720408e-07	0.000434896641915126	5.18555234173406
ST5	0.100987243754205	6.46075058290176	5.20682622298588	3.2169617204903e-07	0.000434896641915126	5.02915116863327
ANKRD6	0.0941720318734379	6.13509834083496	5.18724200268433	3.5483030875982e-07	0.000434896641915126	4.95232325621521
DPP10	0.0584082302217311	6.54713311511523	5.1810452289135	3.65986761901706e-07	0.000434896641915126	4.93306229821744
IGDCC4	0.15059368931323	2.95171289992077	5.17956549240779	3.68700687680751e-07	0.000434896641915126	4.90814489606872
VWA7	-0.113313072255062	4.01145103627088	-5.09020981326545	5.7420373221378e-07	0.000628917144983293	4.47439359894799
KCNS1	-0.112487381235045	5.37781202626985	-5.0683906018606	6.39200440263397e-07	0.000653433303399929	4.3845803490801
GMFB	0.0621193213241151	7.81341603186679	4.99454493812738	9.16347641082802e-07	0.00083094048366638	4.02580415121412
RPP25L	-0.0726143191227241	2.67870512573075	-4.99345111082153	9.21220048410621e-07	0.00083094048366638	4.02457999864042
KEL	-0.116002859506299	2.00269286456846	-4.92771646081658	1.26480944094251e-06	0.00107747710930069	3.7163871197118
