logFC	AveExpr	t	P.Value	adj.P.Val	B
ADCYAP1	0.269042878315496	4.20331509625316	8.18819509808477	2.07386031561976e-15	2.6970553404635e-11	23.6588309670488
DOK4	0.114024555563447	4.6939585535836	6.97513484906479	9.35319540003273e-12	6.08191530887129e-08	15.3927662320083
SERTM1	0.135977239960112	4.41873262552168	6.65351901410386	7.28667818031851e-11	3.15877499116807e-07	13.3834571041931
KCNS2	-0.128300237630351	5.48900629160556	-6.39404038630169	3.60715017322369e-10	1.17277470006935e-06	11.8093905781361
FAM13A	-0.0816291114840731	7.06271752389781	-6.33519615551004	5.14731625316698e-10	1.33881695744873e-06	11.4613417093001
CDH13	0.100135636901786	6.89739328918248	6.25418789654907	8.36104460153223e-10	1.81225641738211e-06	10.9924321928677
PCSK2	-0.0743299511110152	6.77015104944118	-5.96249303160008	4.59710711545134e-09	8.54076829092067e-06	9.32511546879467
KCNK1	-0.0858229457309785	6.87721666691279	-5.91420213037186	6.05659518963624e-09	9.23783160443384e-06	9.07540248236126
KCNC1	-0.0937622677183437	5.40128017846403	-5.90469748320077	6.3929630480511e-09	9.23783160443384e-06	9.00495826119051
GABRA5	0.129248931910261	6.74714515053944	5.86364950088081	8.06716720251157e-09	9.63902756256419e-06	8.7829118242066
ROBO2	0.0904318086487891	7.19537005394221	5.86177694482424	8.15296448967367e-09	9.63902756256419e-06	8.76710747836819
MPPED2	-0.0769060426617213	5.18066839945719	-5.81427074714893	1.06529840140656e-08	1.15451714252436e-05	8.50266066279654
ZNF831	0.110765628055571	3.64747285392113	5.77661667911133	1.31517354035798e-08	1.31567937633504e-05	8.29966624531286
NRSN1	0.115551695751031	6.49000455113471	5.70276406324019	1.98170915654273e-08	1.84086625577416e-05	7.89883558395669
SLC35F3	-0.08781553274278	5.11639773797148	-5.60108462274676	3.45999986755562e-08	2.99981988517072e-05	7.36980900272752
ANKRD6	0.116520900371315	5.58190409137606	5.58248056595878	3.82797834519632e-08	3.01713505955037e-05	7.25976066058236
SNX8	0.119768118057617	4.58115842301302	5.57697602538496	3.94396739810506e-08	3.01713505955037e-05	7.23448354660857
SEMA7A	-0.107285505087157	6.12652062255671	-5.56343086118117	4.24412834645632e-08	3.06638273031469e-05	7.16181926224038
SLCO2A1	-0.1666448620418	1.73530664201678	-5.55156357382411	4.52527285141968e-08	3.0974301806691e-05	7.09853215832499
LRP8	0.0892783844365088	6.09308014380898	5.50834250704109	5.71057354631738e-08	3.71330044849287e-05	6.8754808793788
RAB3B	0.137146232821351	5.83964430003697	5.45621925824392	7.54483093376691e-08	4.67240601398279e-05	6.60785857271216
ALDH1A1	-0.197579437909388	7.28003268581096	-5.40960131674519	9.66116795709083e-08	5.71106769463483e-05	6.35656885105973
KCNA1	-0.108127844266163	6.1881999719222	-5.38325302477262	1.11014649866671e-07	6.27715444137415e-05	6.22807725921617
ZNF436	-0.072892473010269	5.71300982740445	-5.35084693357676	1.31603907186821e-07	7.13128672068586e-05	6.07459593304992
RAB11FIP1	0.0919350896178911	3.86664107483618	5.26246317324275	2.08397946949538e-07	0.00010840861200315	5.61652281018899
CRH	0.179834027676089	1.88816561773331	5.23336725950449	2.42103328086416e-07	0.000121098222375533	5.47829398505599
LRP4	-0.10333114203703	7.14651582177484	-5.22230565591725	2.56255832181525e-07	0.000123429892500768	5.41770302474274
