Rows	logFC_CMC	AveExpr_CMC	t_CMC	P.Value_CMC	adj.P.Val_CMC	B_CMC	logFC_BrainSeq	AveExpr_BrainSeq	t_BrainSeq	P.Value_BrainSeq	adj.P.Val_BrainSeq	B_BrainSeq	logFC_NeuN	AveExpr_NeuN	t_NeuN	P.Value_NeuN	adj.P.Val_NeuN	B_NeuN
1	AAAS	0.0130745334641942	5.45193686800694	0.767605476621218	0.443070908273427	0.825306909561277	-7.58123457305196	-0.00156104222461194	5.73281912606637	-0.081994473469518	0.934696097376074	0.999999997573668	-8.06503423618608	-0.276479386988507	4.38631379834952	-1.70114237730853	0.0973101753769578	0.331892684015513	-4.88123502423561
2	AACS	-0.00797329691299445	6.65612125714407	-0.59533349008963	0.551880234222767	0.893131215289583	-7.69984746658858	0.0143733078268999	7.09874222838761	1.1477519650158	0.25182343661127	0.634150997453028	-7.39859598383537	-0.130156110389833	8.04550056480586	-2.09917212166128	0.0426854828480737	0.209405468217094	-4.21820881087314
3	AADAT	0.0298393735176474	4.78401519847435	1.54414612959192	0.123162831310925	0.485511168168101	-6.6917578143638	0.00161693961553765	4.23889602726168	0.0892737662931357	0.928913355583321	0.999999997573668	-8.05267273372284	-0.147673615719135	3.93186833009667	-0.629453007220909	0.532921572828176	0.770909492953026	-6.09007831648126
4	AAGAB	-0.0163494325101374	7.09703670926277	-1.59277605210644	0.111819656570434	0.464308631449074	-6.60535783384853	0.010917158817201	6.02502185530524	1.17456667163118	0.240934616986936	0.620375963070462	-7.36787099224438	-0.0153673696963378	5.05019921589694	-0.131655758486163	0.895970144461035	0.956017526276766	-6.2624439472308
5	AARS	-0.017151768150657	8.70860508185223	-1.6491560423432	0.0997211680262658	0.4432241251475	-6.50993101268719	0.0107489893561429	8.3693606463094	0.919490884589873	0.358446734562684	0.737170764016344	-7.64300336790199	0.0709217757379697	7.0187707240999	0.729887506148899	0.470056632436549	0.726748064324522	-6.00660375305768
6	AASDH	-0.0342977822138159	5.78971484303468	-2.25658466212916	0.0244494975060086	0.218984652249065	-5.35477703832514	-0.0114679197588423	3.5246571008334	-0.683871402914305	0.494490735186943	0.839424436328638	-7.83192431226263	0.125777944259311	5.26748588083471	1.26721068063102	0.213000864050361	0.499137581718649	-5.46754397813524
7	AASDHPPT	-0.00475630468092217	7.10028861666875	-0.485641915207032	0.627426158190249	0.933656476357679	-7.7640575474383	-0.000781698710722073	7.08734803162921	-0.0643344943895714	0.948739142125051	0.999999997573668	-8.06075337419414	0.132919253016278	5.76260136979448	1.33576053904779	0.189789196408995	0.469991193248346	-5.41507771702351
8	AATK	0.0106602333199417	7.21379577805857	0.780732484836661	0.435316028092173	0.821190157432362	-7.56920012752775	0.023198060144599	8.10255524607808	1.64890052229511	0.100029257364974	0.418398426741548	-6.68927181050652	0.0810480908015526	4.83972510242643	0.727954713474996	0.471224888160617	0.72763246307837	-5.97309383632471
9	ABAT	-0.00178144916428946	8.36286900322825	-0.165622539393323	0.868518544670934	0.999999421405898	-7.85851624743434	-0.0104566118413124	8.05513107107119	-0.769250439934008	0.442242648153321	0.80214676683026	-7.76631426093285	0.184809818782903	6.70749803705426	2.4492135132643	0.0191754554347155	0.134204339080276	-3.53524880911999
10	ABCA2	0.0133012744198574	8.99092213773477	0.832901489417106	0.405283651756608	0.800887120149773	-7.53476450119342	-0.00122776256489741	9.76113263323383	-0.0821934847473073	0.934537953440779	0.999999997573668	-8.0571487653425	0.027519835204975	6.69656417438294	0.29780624924152	0.767517483144965	0.898693613954912	-6.18760717683536
11	ABCA3	-0.00499095928559344	7.50821934981599	-0.441800859552382	0.658817457377278	0.948693582218098	-7.77595741654684	0.0171604024328472	7.00419807408639	1.5272195494022	0.127573365762351	0.467098851623661	-6.89830387210991	-0.08328802704765	5.72426991921359	-0.909110384695981	0.369177985128669	0.653518985603643	-5.81319547344374
12	ABCA6	-0.034499584672486	6.1040360542774	-1.37870390494047	0.168580387399961	0.555219470502614	-6.90875704089753	-0.0239292952911468	1.70130458285083	-0.535464208391363	0.592655328411084	0.895344669810773	-7.90305851537246	-0.102086322752564	6.22632967794191	-1.20972174073142	0.234061019498751	0.52640333796415	-5.5361856506385
13	ABCA9	-0.00624338780941973	5.61099801459255	-0.320929889885804	0.74839279303134	0.989010087732199	-7.81693651276388	-0.00513883186081056	4.02075509493972	-0.199749044911897	0.841788202198659	0.999999997573668	-8.0375541956481	-0.0497443938000624	6.27490157184981	-0.522705322524458	0.604296527460127	0.817942899584614	-6.15040539093472
14	ABCB10	-0.0090281551065746	5.18719102797172	-0.794435036175385	0.427305558864167	0.81566101372203	-7.57308078736824	0.0339216855646725	3.7403388374152	2.53528348116508	0.0116527742823999	0.149151620072054	-4.85664584703818	0.230976751424887	4.15104168841101	1.30283675636297	0.200683831032236	0.483005562352423	-5.40845989808601
15	ABCB8	-0.00490524532695023	5.33217959832288	-0.36786947457954	0.713120637051476	0.973955179187151	-7.80391291238199	-0.0353764397432229	5.79023589607927	-2.76766171345812	0.00593400892170732	0.105292055046006	-4.25032270443909	-0.173607507960394	5.745425559451	-1.84293107835076	0.073364824657155	0.284103567665448	-4.60815178564448
16	ABCB9	-0.0173752814938601	5.2344509216721	-1.33471616713053	0.182554861570088	0.576944343795625	-6.98717378333972	0.0060616463042785	6.16027732111424	0.59613755287886	0.551453216938433	0.873529301608795	-7.87768569432309	-0.130764668531912	6.50008020454354	-1.35653721592843	0.183151142136309	0.460518062402141	-5.38922551431629
17	ABCC1	0.00911593043530343	4.67642881076628	0.617656562189258	0.537072836447211	0.886374649491876	-7.68883313690943	-0.0101577865880792	3.96215321001912	-0.645532052333383	0.518988449829371	0.853499075889083	-7.84681284280094	-0.201128899788196	4.91117035401145	-1.78635463516159	0.0822415572348524	0.302675018556693	-4.74237961666524
18	ABCC5	-0.0217262875742384	7.27376647125168	-1.86080244929237	0.0633377301034237	0.355022481654964	-6.14080516435493	-0.00922447117216301	6.79453804181969	-0.903697074868677	0.366752684711417	0.74369024958541	-7.63907554767497	-0.224350952584938	8.13510378478119	-3.33247279785346	0.00196313264527773	0.0372637158037092	-1.49259230035121
19	ABCD2	-0.0611655717944426	6.23964237106889	-4.22776798257477	2.78961774868848e-05	0.00310076742065758	0.920146862351718	-0.0800212152488859	3.45190041306538	-3.47090923503916	0.000580878818495709	0.0308604167399955	-2.12580640170443	-0.00604932686335512	4.49133573778629	-0.0414499682440051	0.967160127236485	0.988270027376244	-6.2658817655519
20	ABCD3	0.00740348470062165	7.49131265608052	0.890123173680567	0.373812436052555	0.775224163747964	-7.4738595384504	-0.0124223710309236	5.94833846471734	-0.993602549334255	0.321075293248836	0.702836337855481	-7.56504249915983	0.0835301474824219	5.11914528608645	0.768771084489102	0.446910543489155	0.709772541104969	-5.93313911760592
21	ABCE1	-0.0120346114782638	7.15200969409432	-1.26186655749361	0.207563968883883	0.610855264841571	-7.08578078688938	-0.0149273226117564	5.79487263372451	-1.39166641635227	0.164871789518356	0.522634883829334	-7.10162167474633	-0.0940859591206772	5.05769721327659	-0.870599310244226	0.389588546904861	0.669020506857365	-5.89710592691643
22	ABCF1	-0.00684405448404836	5.83758112936124	-0.525147368704116	0.599705155195271	0.920146949423607	-7.73956437131082	-0.00369549933244659	6.25340293651556	-0.306248469651578	0.759590255648936	0.983634303974332	-8.01547022613793	-0.190059373642885	5.74168977774064	-2.16839398165897	0.0366333597869042	0.191697521439788	-4.08467820128141
23	ABCF2	-0.00755874725447556	6.92739753254145	-0.719276734518052	0.472294375241457	0.841972357781377	-7.62296747159878	-0.0175539639929714	5.6323336187595	-1.98433735047667	0.0479675057288465	0.293218549714375	-6.08819296840444	0.321042649757386	5.86178656757357	4.45973641806089	7.38350061414881e-05	0.00604908670107087	1.56261247634164
