logFC	AveExpr	t	P.Value	adj.P.Val	B
NSUN6	0.755797440941228	5.25366645678324	9.08828196933175	9.39558701643e-10	5.02131089320271e-06	12.0874375742584
LRRC8C	0.703285878038847	4.48513089633201	8.74753950789418	2.0633798784837e-09	5.02131089320271e-06	11.2089305534023
GPC2	1.67287614525554	2.63295284738233	8.63309296154181	2.69667033019207e-09	5.02131089320271e-06	11.1395547152081
FBXO32	0.736745871156836	5.68989330248301	8.57482934051883	3.09241625447434e-09	5.02131089320271e-06	11.0564456908197
CC2D1B	-1.16250916687202	4.9550554179813	-7.77530709248248	2.11818023569036e-08	2.75151612616178e-05	9.25000927687363
ARL13B	0.809206558717231	4.29960422096465	7.54386188946585	3.75478338142785e-08	4.06455301039565e-05	8.74541665761741
MTDH	0.645006294945986	6.97161084364279	7.4469137852878	4.78190392675754e-08	4.4369237148986e-05	8.50820152927522
HDDC2	0.925433677035273	3.08460582705745	7.10260306836657	1.13926673515033e-07	9.24942180600177e-05	7.70567248069432
MC1R	0.934148696237399	2.4773078513854	7.01604465108799	1.42030017589453e-07	0.000102498329360388	7.49312006622573
MTRNR2L13	0.898407244149504	1.47919532094057	6.79318622486535	2.51562089701944e-07	0.000163389577261413	6.95278248878836
BRE	1.00744547601439	3.06452101032987	6.71970278452458	3.04114550679251e-07	0.00017956581878743	6.78536831837474
CLPB	1.02870818873533	3.45208619669308	6.54789713218841	4.74962630813111e-07	0.000257073523927596	6.3733060913413
PATZ1	1.11351430490747	3.55553977626799	6.30328408842526	9.00754106985908e-07	0.000402837132777282	5.76600629301201
TMEM116	-0.918078257496251	4.08878687319309	-6.29806040980662	9.13207466742749e-07	0.000402837132777282	5.74315091945835
PLCH2	-0.814608935686827	6.42966274449949	-6.29099088797377	9.30339798561853e-07	0.000402837132777282	5.72975062924248
RASAL1	-0.730622820814025	5.28096521785094	-6.24030948002233	1.06309055670489e-06	0.000431548322862393	5.60532893224509
AHSA1	1.00716860911326	4.0906740352746	6.0659162046204	1.68527190243657e-06	0.00064387300037209	5.17118423090383
N6AMT1	0.618392780265792	5.80238357948722	6.01890061225859	1.90902039623014e-06	0.000688838192973043	5.05108376180121
