VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
NeuN	SET	140	0.13308	0.011531	0.068764	0.026484	ADHD
OLIG2	SET	135	0.067479	0.0057421	0.073472	0.1792	ADHD
NeuN	SET	140	-0.048035	-0.0041069	0.067506	0.76163	ALZ_2019
OLIG2	SET	139	-0.0025778	-0.00021961	0.072259	0.51423	ALZ_2019
NeuN	SET	140	-0.0026613	-0.00022877	0.068661	0.51546	ASD_2017
OLIG2	SET	138	0.11802	0.010073	0.069877	0.035619	ASD_2017
NeuN	SET	140	0.0086013	0.00073822	0.071753	0.45229	BIP_2018
OLIG2	SET	139	0.2233	0.019097	0.076126	0.0016791	BIP_2018
NeuN	SET	140	0.028495	0.0024351	0.064961	0.33046	MDD_2018
OLIG2	SET	139	-0.021574	-0.0018371	0.06869	0.62327	MDD_2018
NeuN	SET	140	0.15796	0.013609	0.08513	0.021766	SCZ_2014_Loci
OLIG2	SET	139	0.0081618	0.00070064	0.084627	0.36158	SCZ_2014_Loci
NeuN	SET	140	0.13329	0.011453	0.077628	0.032996	SCZ_2018
OLIG2	SET	139	-0.065498	-0.0056081	0.081472	0.78928	SCZ_2018
NeuN	SET	140	0.044322	0.0037959	0.087106	0.30544	CognitiveFun
OLIG2	SET	139	0.099909	0.0085262	0.088702	0.13002	CognitiveFun
NeuN	SET	140	0.24447	0.020999	0.097622	0.0061407	EduATT
OLIG2	SET	139	0.038251	0.0032739	0.10354	0.35591	EduATT
NeuN	SET	140	0.034424	0.0029592	0.084115	0.34118	Intelligence
OLIG2	SET	139	0.043157	0.0036968	0.088347	0.3126	Intelligence
NeuN	SET	140	0.083749	0.0071594	0.090355	0.177	BMI
OLIG2	SET	139	0.056964	0.0048524	0.094824	0.27401	BMI
NeuN	SET	139	-0.010826	-0.00095491	0.067283	0.56392	CHD
OLIG2	SET	136	0.08124	0.0070884	0.072443	0.13106	CHD
NeuN	SET	139	0.070088	0.0061828	0.066048	0.14431	DIAB
OLIG2	SET	136	0.10373	0.0090524	0.06586	0.067631	DIAB
NeuN	SET	139	0.0057949	0.00051405	0.17468	0.48677	HGT
OLIG2	SET	136	0.12054	0.010577	0.17963	0.25111	HGT
NeuN	SET	139	-0.0042141	-0.00037077	0.067526	0.52488	OSTEO
OLIG2	SET	136	0.19508	0.016979	0.070449	0.14431	OSTEO
